"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.04.2020","75,850","65,600","84,300","64,750","4,42M","12,37%"
"05.04.2020","67,500","66,500","68,000","61,850","7,12M","3,61%"
"29.03.2020","65,150","58,500","65,300","56,800","7,83M","9,96%"
"22.03.2020","59,250","67,000","71,000","59,050","5,32M","-2,39%"
"15.03.2020","60,700","72,500","76,400","53,500","21,61M","-24,83%"
"08.03.2020","80,750","92,000","94,250","77,000","15,33M","-21,07%"
"01.03.2020","102,300","104,000","111,200","102,000","7,28M","-0,39%"
"23.02.2020","102,700","109,800","111,400","101,300","8,04M","-11,31%"
"16.02.2020","115,800","117,000","118,900","111,750","7,96M","-1,03%"
"09.02.2020","117,000","127,100","128,000","112,650","6,27M","-7,95%"
"02.02.2020","127,100","122,500","131,500","122,500","4,66M","4,10%"
"26.01.2020","122,100","115,000","125,950","111,800","5,96M","3,91%"
"19.01.2020","117,500","126,300","129,350","116,700","3,97M","-7,22%"
"12.01.2020","126,650","134,000","134,300","120,200","9,29M","-5,41%"
"05.01.2020","133,900","120,000","134,000","118,000","6,72M","10,48%"
"29.12.2019","121,200","120,000","124,450","116,050","3,72M","0,00%"
"22.12.2019","121,200","111,000","128,800","111,000","6,71M","10,48%"
"15.12.2019","109,700","109,100","114,350","104,550","9,92M","1,01%"
