"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.04.2020","7,33","7,09","7,77","6,59","1,24M","3,39%"
"05.04.2020","7,09","7,56","7,82","6,78","4,29M","-3,41%"
"29.03.2020","7,34","7,04","7,42","6,45","4,03M","8,90%"
"22.03.2020","6,74","6,77","8,19","6,27","4,78M","-1,03%"
"15.03.2020","6,81","7,72","8,59","5,85","9,47M","-26,06%"
"08.03.2020","9,21","11,10","11,48","8,45","6,44M","-24,63%"
"01.03.2020","12,22","12,66","13,60","12,18","3,77M","-3,32%"
"23.02.2020","12,64","14,03","14,24","12,08","5,09M","-12,77%"
"16.02.2020","14,49","13,67","14,54","13,51","3,69M","5,08%"
"09.02.2020","13,79","14,98","15,21","13,43","5,01M","-7,94%"
"02.02.2020","14,98","14,50","15,80","14,47","5,59M","4,39%"
"26.01.2020","14,35","13,50","14,96","13,24","3,84M","2,57%"
"19.01.2020","13,99","15,68","15,90","13,94","4,28M","-10,32%"
"12.01.2020","15,60","16,37","16,48","14,61","7,43M","-4,70%"
"05.01.2020","16,37","15,51","16,89","15,40","5,10M","3,61%"
"29.12.2019","15,80","16,42","16,76","15,38","5,62M","-3,78%"
"22.12.2019","16,42","15,08","17,70","15,04","8,99M","9,47%"
"15.12.2019","15,00","14,90","15,66","13,86","10,50M","1,69%"
