"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.12.2019","108,600","110,000","111,900","97,650","6,68M","-0,96%"
"01.12.2019","109,650","100,000","109,900","93,000","6,80M","9,76%"
"24.11.2019","99,900","95,000","101,000","90,750","4,64M","5,49%"
"17.11.2019","94,700","89,800","98,300","85,500","4,06M","6,64%"
"10.11.2019","88,800","97,000","99,500","83,050","4,15M","-8,92%"
"03.11.2019","97,500","95,000","102,400","95,000","5,82M","3,83%"
"27.10.2019","93,900","102,000","109,750","83,700","10,85M","-7,40%"
"20.10.2019","101,400","93,050","106,200","92,000","15,11M","8,97%"
"13.10.2019","93,050","89,500","94,250","87,550","8,50M","3,10%"
"06.10.2019","90,250","90,300","92,000","83,750","6,12M","0,50%"
"29.09.2019","89,800","81,550","90,000","79,600","6,88M","9,51%"
"22.09.2019","82,000","80,000","82,500","75,200","7,13M","0,31%"
"15.09.2019","81,750","80,650","86,300","79,000","4,99M","1,55%"
"08.09.2019","80,500","82,000","84,950","73,300","7,33M","5,64%"
"01.09.2019","76,200","69,000","76,600","58,500","12,88M","10,43%"
"25.08.2019","69,000","79,850","81,500","66,300","11,33M","-13,75%"
"18.08.2019","80,000","90,950","90,950","80,000","11,60M","-20,48%"
"11.08.2019","100,600","105,200","114,950","91,000","32,56M","-42,38%"
"04.08.2019","174,600","156,350","175,900","153,800","7,16M","10,96%"
"28.07.2019","157,350","163,000","170,150","152,600","4,63M","-2,87%"
"21.07.2019","162,000","148,000","165,000","140,000","4,82M","9,09%"
"14.07.2019","148,500","157,000","158,650","146,050","5,10M","-5,89%"
"07.07.2019","157,800","157,250","162,500","156,800","5,21M","3,41%"
"30.06.2019","152,600","152,000","156,250","149,500","4,25M","0,66%"
"23.06.2019","151,600","146,000","152,000","141,350","7,99M","3,48%"
"16.06.2019","146,500","146,000","149,750","139,950","6,35M","0,48%"
"09.06.2019","145,800","123,500","150,000","123,500","16,97M","18,44%"
"02.06.2019","123,100","114,000","125,700","109,000","6,67M","7,14%"
"26.05.2019","114,900","122,000","122,000","109,500","5,34M","-4,25%"
"19.05.2019","120,000","109,900","120,300","106,500","4,79M","7,87%"
"12.05.2019","111,250","109,550","117,350","105,000","4,19M","-0,63%"
"05.05.2019","111,950","105,627","117,500","104,200","5,40M","2,24%"
"28.04.2019","109,500","96,800","109,850","93,250","4,62M","12,31%"
"21.04.2019","97,500","105,000","107,500","91,000","10,75M","-11,92%"
"14.04.2019","110,700","107,300","114,400","107,250","5,72M","2,45%"
"07.04.2019","108,050","110,150","111,600","102,500","5,36M","-1,41%"
"31.03.2019","109,600","112,300","112,300","103,500","2,35M","-0,99%"
"24.03.2019","110,700","108,500","116,300","102,600","6,30M","2,22%"
"17.03.2019","108,300","115,600","122,500","108,200","6,58M","-4,24%"
"10.03.2019","113,100","113,900","117,300","109,400","6,82M","2,26%"
"03.03.2019","110,600","113,900","115,500","104,600","7,76M","-5,71%"
"24.02.2019","117,300","133,000","134,950","115,900","6,86M","-11,10%"
"17.02.2019","131,950","134,000","136,450","127,450","5,73M","-2,33%"
"10.02.2019","135,100","136,250","141,800","133,900","5,24M","-0,66%"
"03.02.2019","136,000","134,150","140,200","130,000","5,98M","1,49%"
"27.01.2019","134,000","126,800","136,800","124,000","4,71M","5,43%"
"20.01.2019","127,100","126,000","131,000","120,100","5,14M","0,87%"
"13.01.2019","126,000","120,500","126,900","117,000","4,24M","4,83%"
"06.01.2019","120,200","114,000","127,000","113,000","7,90M","5,44%"
"30.12.2018","114,000","104,000","114,650","101,050","3,63M","11,22%"
"23.12.2018","102,500","96,400","104,100","91,300","3,64M","6,22%"
"16.12.2018","96,500","105,800","105,800","95,150","5,88M","-8,96%"
"09.12.2018","106,000","103,000","109,000","100,450","5,42M","2,22%"
"02.12.2018","103,700","105,100","107,500","98,500","4,70M","1,72%"
"25.11.2018","101,950","97,000","102,750","94,050","4,84M","4,78%"
"18.11.2018","97,300","94,000","100,050","89,850","3,61M","1,46%"
"11.11.2018","95,900","90,200","98,000","84,700","5,00M","6,26%"
"04.11.2018","90,250","95,750","97,500","89,150","6,06M","-5,60%"
"28.10.2018","95,600","85,000","97,000","81,800","6,29M","12,54%"
"21.10.2018","84,950","84,100","88,700","81,000","5,82M","0,89%"
"14.10.2018","84,200","91,250","91,400","82,200","5,04M","-7,98%"
"07.10.2018","91,500","91,400","93,800","76,800","9,31M","0,11%"
"30.09.2018","91,400","105,700","111,000","91,000","8,65M","-13,53%"
"23.09.2018","105,700","111,000","116,000","100,000","10,89M","-4,99%"
"16.09.2018","111,250","86,400","111,500","86,400","17,09M","29,14%"
"09.09.2018","86,150","88,750","90,600","79,250","9,23M","-1,88%"
"02.09.2018","87,800","88,000","93,800","77,000","17,12M","1,92%"
"26.08.2018","86,150","80,650","86,200","69,650","10,62M","6,36%"
"19.08.2018","81,000","86,000","91,000","79,700","4,04M","-7,95%"
