"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.12.2019","14,75","14,04","15,05","13,07","6,98M","6,88%"
"01.12.2019","13,80","13,34","13,97","12,46","5,94M","3,29%"
"24.11.2019","13,36","12,80","13,94","12,40","5,53M","4,87%"
"17.11.2019","12,74","11,50","13,16","11,16","4,94M","10,02%"
"10.11.2019","11,58","12,30","13,03","10,96","5,39M","-6,69%"
"03.11.2019","12,41","12,00","13,06","11,87","4,91M","5,26%"
"27.10.2019","11,79","12,47","13,21","10,76","9,05M","-7,38%"
"20.10.2019","12,73","12,61","13,26","12,25","6,77M","1,76%"
"13.10.2019","12,51","12,94","13,38","12,28","4,10M","-4,21%"
"06.10.2019","13,06","13,45","13,99","12,43","5,92M","-3,33%"
"29.09.2019","13,51","13,18","13,52","12,14","6,27M","3,37%"
"22.09.2019","13,07","11,78","13,20","11,28","6,80M","9,83%"
"15.09.2019","11,90","10,99","12,73","10,60","8,87M","6,92%"
"08.09.2019","11,13","11,93","12,47","11,01","8,45M","-5,12%"
"01.09.2019","11,73","11,76","12,27","9,53","20,40M","8,21%"
"25.08.2019","10,84","14,89","15,10","10,82","16,81M","-26,21%"
"18.08.2019","14,69","17,18","17,33","14,58","13,46M","-17,19%"
"11.08.2019","17,74","19,31","19,36","15,17","51,31M","-53,52%"
"04.08.2019","38,17","33,13","38,69","33,01","5,58M","8,99%"
"28.07.2019","35,02","37,42","38,81","33,86","4,80M","-6,41%"
"21.07.2019","37,42","34,80","37,85","32,74","5,03M","7,22%"
"14.07.2019","34,90","37,99","37,99","34,30","4,74M","-7,82%"
"07.07.2019","37,86","36,49","39,22","35,82","4,14M","4,01%"
"30.06.2019","36,40","36,03","37,73","35,31","3,63M","2,54%"
"23.06.2019","35,50","34,19","35,58","32,91","4,96M","4,01%"
"16.06.2019","34,13","33,34","34,44","32,21","5,21M","3,74%"
"09.06.2019","32,90","27,59","34,68","27,54","13,13M","20,03%"
"02.06.2019","27,41","25,98","28,25","24,31","6,07M","7,03%"
"26.05.2019","25,61","26,60","27,01","24,05","19,59M","-3,72%"
"19.05.2019","26,60","24,25","26,72","23,19","7,34M","8,88%"
"12.05.2019","24,43","23,80","26,02","22,80","6,13M","-1,17%"
"05.05.2019","24,72","23,54","26,35","23,09","5,48M","0,94%"
"28.04.2019","24,49","20,99","24,76","20,77","5,98M","16,56%"
"21.04.2019","21,01","24,04","25,09","18,62","13,46M","-12,60%"
"14.04.2019","24,04","25,71","27,42","23,50","5,59M","-6,13%"
"07.04.2019","25,61","24,88","25,84","23,43","4,89M","2,56%"
"31.03.2019","24,97","25,98","26,22","23,90","3,48M","-2,16%"
"24.03.2019","25,52","25,88","27,71","23,22","8,35M","-1,24%"
"17.03.2019","25,84","28,55","30,46","25,67","4,67M","-8,76%"
"10.03.2019","28,32","26,86","28,96","26,78","4,05M","6,95%"
"03.03.2019","26,48","29,01","29,38","25,10","6,36M","-8,88%"
"24.02.2019","29,06","34,28","34,56","28,96","3,83M","-13,69%"
"17.02.2019","33,67","34,44","34,44","31,86","4,60M","-3,19%"
"10.02.2019","34,78","35,76","37,63","34,59","3,62M","-3,36%"
"03.02.2019","35,99","35,98","37,78","34,24","5,09M","-0,53%"
"27.01.2019","36,18","33,77","36,71","33,77","3,11M","5,36%"
"20.01.2019","34,34","32,93","34,81","32,03","3,04M","3,40%"
"13.01.2019","33,21","32,15","33,73","30,95","3,30M","2,22%"
"06.01.2019","32,49","30,55","34,00","30,07","5,13M","5,83%"
"30.12.2018","30,70","27,09","30,79","26,65","3,26M","14,04%"
"23.12.2018","26,92","24,50","27,57","23,67","2,17M","7,81%"
"16.12.2018","24,97","27,43","27,53","24,74","3,65M","-9,30%"
"09.12.2018","27,53","27,75","29,11","26,53","3,45M","-0,76%"
"02.12.2018","27,74","28,00","29,24","26,00","4,62M","0,65%"
"25.11.2018","27,56","26,66","27,81","24,08","3,82M","3,84%"
"18.11.2018","26,54","26,85","26,86","24,60","2,64M","-1,19%"
"11.11.2018","26,86","25,00","27,25","23,13","3,67M","6,33%"
"04.11.2018","25,26","26,70","27,40","24,79","2,95M","-5,82%"
"28.10.2018","26,82","23,48","27,28","21,78","7,72M","16,76%"
"21.10.2018","22,97","23,28","24,01","21,80","5,14M","0,35%"
"14.10.2018","22,89","24,67","26,10","22,20","4,48M","-6,99%"
"07.10.2018","24,61","24,78","25,10","20,50","6,68M","1,78%"
"30.09.2018","24,18","25,80","29,70","24,02","6,70M","-4,92%"
"23.09.2018","25,43","29,55","31,84","24,36","9,01M","-14,55%"
"16.09.2018","29,76","21,50","30,10","21,50","13,05M","39,07%"
"09.09.2018","21,40","23,65","24,05","20,65","5,42M","-9,67%"
"02.09.2018","23,69","21,55","25,16","19,30","12,70M","5,29%"
"26.08.2018","22,50","26,53","26,84","18,30","17,02M","-14,77%"
"19.08.2018","26,40","29,35","29,90","25,84","4,82M","-9,87%"
"12.08.2018","29,29","31,47","32,73","27,75","6,37M","-8,35%"
"05.08.2018","31,96","37,21","37,62","31,29","4,02M","-14,45%"
"29.07.2018","37,36","36,46","37,68","35,32","2,64M","2,50%"
